label,occurrences,file_count,types
APPOINTMENT TYPE,5,5,P:4|S:1
PLAN ID,5,5,P:2|F:2|C:1
REVENUE CODE,5,5,P:4|F:1
POLICY NUMBER,5,5,F:1|N:4
TEAM POSITION,5,5,P:4|F:1
BUDGET OBJECT CODE,5,5,F:3|N:1|P:1
FCP,5,5,F:4|A:1
STATE CODE,5,5,P:2|F:3
WORK ORDER NUMBER,5,5,P:2|F:3
VIEW_ID,5,5,F:1|P:4
ENCOUNTER SWAC,5,5,F:1|S:4
ENC HEAD/NECK CA,5,5,F:1|S:4
RADIATION ENCOUNTER INDICATOR,5,5,F:1|S:4
QUEUE,5,5,F:2|N:2|P:1
STUDY DATE,5,5,D:2|F:3
PROVIDER NARRATIVE,5,5,F:1|P:4
