rule,priority,label,file,file_label,field,field_label,package,occurrences,types,source_files,target_file,recommended_type
date_as_free_text,5,,727.815,EVENT CAPTURE LOCAL EXTRACT,91.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,727.817,TREATING SPECIALTY CHANGE EXTRACT,10.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.817,TREATING SPECIALTY CHANGE EXTRACT,11.0,DISCHARGE DATE,(unpackaged),,,,,
date_as_free_text,5,,727.819,IV DETAIL EXTRACT,24.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.819,IV DETAIL EXTRACT,39.0,ORDERING DATE,(unpackaged),,,,,
date_as_free_text,5,,727.819,IV DETAIL EXTRACT,44.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.819,IV DETAIL EXTRACT,77.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.819,IV DETAIL EXTRACT,83.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,727.823,PAI EXTRACT,9.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.823,PAI EXTRACT,11.0,TRANSFER/ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.824,LAB RESULTS EXTRACT,13.0,DATE ORDERED,(unpackaged),,,,,
date_as_free_text,5,,727.824,LAB RESULTS EXTRACT,15.0,DATE RESULTS READY,(unpackaged),,,,,
date_as_free_text,5,,727.825,QUASAR EXTRACT,55.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.825,QUASAR EXTRACT,65.0,CONTRACT START DATE,(unpackaged),,,,,
date_as_free_text,5,,727.825,QUASAR EXTRACT,66.0,CONTRACT END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.825,QUASAR EXTRACT,80.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.825,QUASAR EXTRACT,91.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,727.826,PROSTHETICS EXTRACT,8.0,DATE OF SERVICE,(unpackaged),,,,,
date_as_free_text,5,,727.826,PROSTHETICS EXTRACT,34.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.826,PROSTHETICS EXTRACT,72.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.826,PROSTHETICS EXTRACT,82.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,727.826,PROSTHETICS EXTRACT,84.0,NPPD ENTRY DATE,(unpackaged),,,,,
date_as_free_text,5,,727.827,CLINIC EXTRACT,32.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.827,CLINIC EXTRACT,81.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.827,CLINIC EXTRACT,89.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,727.827,CLINIC EXTRACT,161.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.829,BLOOD BANK EXTRACT,9.0,DATE OF TRANSFUSION,(unpackaged),,,,,
date_as_free_text,5,,727.832,NUTRITION EXTRACT,17.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.832,NUTRITION EXTRACT,58.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.832,NUTRITION EXTRACT,60.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,727.833,BCMA EXTRACT,9.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.833,BCMA EXTRACT,36.0,SCHEDULED ADMINISTRATION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.833,BCMA EXTRACT,73.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.833,BCMA EXTRACT,79.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,757.06,UNRESOLVED NARRATIVES,1.0,DATE-TIME,CLINICAL LEXICON UTILITY,,,,,
date_as_free_text,5,,790.08,WV LAB TESTS,2.19,LAB INVERSE DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,790.1,WV PROCEDURE,2.19,LAB INVERSE DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,790.404,WV NOTIFICATION PURPOSE,0.08,BR TX DUE DATE,(unpackaged),,,,,
date_as_free_text,5,,790.404,WV NOTIFICATION PURPOSE,0.1,CX TX DUE DATE,(unpackaged),,,,,
date_as_free_text,5,,798.1,ROR REGISTRY PARAMETERS,6.1,BEFORE UPDATE,(unpackaged),,,,,
date_as_free_text,5,,798.1,ROR REGISTRY PARAMETERS,6.2,AFTER UPDATE,(unpackaged),,,,,
date_as_free_text,5,,810.4,REMINDER LIST RULE,2.0,LIST RULE BEGINNING DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,810.4,REMINDER LIST RULE,3.0,LIST RULE ENDING DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,811.9,REMINDER DEFINITION,45.0,CUSTOM DATE DUE,(unpackaged),,,,,
date_as_free_text,5,,811.9,REMINDER DEFINITION,46.0,CUSTOM DATE DUE FUNCTION,(unpackaged),,,,,
date_as_free_text,5,,987.5,WII ADMISSIONS DISCHARGES,5.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,987.5,WII ADMISSIONS DISCHARGES,6.0,DISCHARGE DATE,(unpackaged),,,,,
date_as_free_text,5,,987.5,WII ADMISSIONS DISCHARGES,14.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,2006.5714,DICOM INCOMPLETE OBJECT,0.01,DATE/TIME ADDED ($H),(unpackaged),,,,,
date_as_free_text,5,,2006.573,GE PACS QUERY/RETRIEVE,2.0,STUDY DATE,(unpackaged),,,,,
date_as_free_text,5,,2006.575,DICOM FAILED IMAGES,23.0,DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,2006.5751,DICOM OBJECTS TO BE IMPORTED,11.0,STUDY DATE,(unpackaged),,,,,
date_as_free_text,5,,2006.5752,IMPORTABLE DICOM OBJECTS,11.0,STUDY DATE,(unpackaged),,,,,
date_as_free_text,5,,2006.634,MAGJ ZLIST SEARCH,7.0,IMAGE DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,2006.634,MAGJ ZLIST SEARCH,14.0,IMAGE DATE/TIME-SORTABLE,(unpackaged),,,,,
date_as_free_text,5,,2100.0,GENERIC CODE SHEET,234.0,DATE OF APPOINTMENT,GENERIC CODE SHEET,,,,,
date_as_free_text,5,,2100.0,GENERIC CODE SHEET,462.34,ENDING DATE DESC,GENERIC CODE SHEET,,,,,
date_as_free_text,5,,2100.0,GENERIC CODE SHEET,1600.0,FEE TRANSACTION DATE,GENERIC CODE SHEET,,,,,
date_as_free_text,5,,2260.0,ASISTS ACCIDENT REPORTING,101.0,GRADE/LEVEL DATE OF INJURY,(unpackaged),,,,,
date_as_free_text,5,,2260.0,ASISTS ACCIDENT REPORTING,102.0,STEP AS OF DATE OF INJURY,(unpackaged),,,,,
date_as_free_text,5,,2260.0,ASISTS ACCIDENT REPORTING,202.0,STEP AS OF DATE OF ILL.,(unpackaged),,,,,
date_as_free_text,5,,6000.0,VBECS SITE PARAMETERS,1.0,WORKLOAD RUN DATE,(unpackaged),,,,,
date_as_free_text,5,,6002.01,VBECS WORKLOAD CAPTURE,21.0,UPDATE ERROR TEXT,(unpackaged),,,,,
date_as_free_text,5,,6915.2,FA DOCUMENT LOG,11.0,TRANSACTION DATE,ENXI,,,,,
date_as_free_text,5,,6915.3,FB DOCUMENT LOG,11.0,TRANSACTION DATE,ENXI,,,,,
date_as_free_text,5,,6915.4,FC DOCUMENT LOG,11.0,TRANSACTION DATE,ENXI,,,,,
date_as_free_text,5,,6915.5,FD DOCUMENT LOG,11.0,TRANSACTION DATE,ENXI,,,,,
date_as_free_text,5,,6915.6,FR DOCUMENT LOG,11.0,TRANSACTION DATE,ENXI,,,,,
date_as_free_text,5,,19620.871,DSIR SAVED AD HOC REPORTS,4.01,REPORT DATE RANGE FIELD 1,(unpackaged),,,,,
date_as_free_text,5,,19620.871,DSIR SAVED AD HOC REPORTS,5.01,REPORT DATE RANGE FIELD 2,(unpackaged),,,,,
date_as_free_text,5,,509850.9,AUDIOMETRIC EXAM DATA,791000.05,BIRTH DATE,(unpackaged),,,,,
date_as_free_text,5,,580950.1,*AJK1UB SITE PARAMETERS,0.16,UPDATE DOW,(unpackaged),,,,,
date_as_free_text,5,,800000.0,HMP SUBSCRIPTION,0.02,LASTUPDATE,(unpackaged),,,,,
date_as_free_text,5,,9002313.02,BPS CLAIMS,304.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,9002313.02,BPS CLAIMS,401.0,DATE OF SERVICE,(unpackaged),,,,,
date_as_free_text,5,,9002313.03,BPS RESPONSES,304.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,9002313.03,BPS RESPONSES,401.0,DATE OF SERVICE,(unpackaged),,,,,
pointer_to_empty_file,3,,1.11,ARCHIVAL ACTIVITY,2.0,SEARCH TEMPLATE,,,,,0.401,
pointer_to_empty_file,3,,1.11,ARCHIVAL ACTIVITY,3.0,PRINT TEMPLATE,,,,,0.4,
pointer_to_empty_file,3,,1.12,FILEGRAM HISTORY,0.07,FILEGRAM,,,,,0.4,
pointer_to_empty_file,3,,1.5211,SQLI_DATA_TYPE,3.0,D_OUTPUT_FORMAT,,,,,1.5214,
pointer_to_empty_file,3,,1.5212,SQLI_DOMAIN,1.0,DM_DATA_TYPE,,,,,1.5211,
pointer_to_empty_file,3,,1.5212,SQLI_DOMAIN,3.0,DM_TABLE,,,,,1.5215,
pointer_to_empty_file,3,,1.5212,SQLI_DOMAIN,6.0,DM_OUTPUT_FORMAT,,,,,1.5214,
pointer_to_empty_file,3,,1.5213,SQLI_KEY_FORMAT,1.0,KF_DATA_TYPE,,,,,1.5211,
pointer_to_empty_file,3,,1.5214,SQLI_OUTPUT_FORMAT,1.0,OF_DATA_TYPE,,,,,1.5211,
pointer_to_empty_file,3,,1.5215,SQLI_TABLE,1.0,T_SCHEMA,,,,,1.521,
pointer_to_empty_file,3,,1.5215,SQLI_TABLE,3.0,T_MASTER_TABLE,,,,,1.5215,
pointer_to_empty_file,3,,1.5216,SQLI_TABLE_ELEMENT,1.0,E_DOMAIN,,,,,1.5212,
pointer_to_empty_file,3,,1.5216,SQLI_TABLE_ELEMENT,2.0,E_TABLE,,,,,1.5215,
pointer_to_empty_file,3,,1.5217,SQLI_COLUMN,0.01,C_TABLE_ELEMENT,,,,,1.5216,
pointer_to_empty_file,3,,1.5217,SQLI_COLUMN,8.0,C_PARENT,,,,,1.5217,
pointer_to_empty_file,3,,1.5217,SQLI_COLUMN,16.0,C_OUTPUT_FORMAT,,,,,1.5214,
pointer_to_empty_file,3,,1.5218,SQLI_PRIMARY_KEY,0.01,P_TBL_ELEMENT,,,,,1.5216,
pointer_to_empty_file,3,,1.5218,SQLI_PRIMARY_KEY,1.0,P_COLUMN,,,,,1.5217,
pointer_to_empty_file,3,,1.5218,SQLI_PRIMARY_KEY,7.0,P_KEY_FORMAT,,,,,1.5213,
pointer_to_empty_file,3,,1.5219,SQLI_FOREIGN_KEY,0.01,F_TBL_ELEMENT,,,,,1.5216,
pointer_to_empty_file,3,,1.5219,SQLI_FOREIGN_KEY,1.0,F_PK_ELEMENT,,,,,1.5218,
pointer_to_empty_file,3,,1.5219,SQLI_FOREIGN_KEY,2.0,F_CLM_ELEMENT,,,,,1.5217,
pointer_to_empty_file,3,,1.52192,SQLI_ERROR_LOG,2.0,ERROR,,,,,1.52191,
pointer_to_empty_file,3,,1.52192,SQLI_ERROR_LOG,4.0,FILEMAN_ERROR,,,,,0.84,
pointer_to_empty_file,3,,43.0,MAS PARAMETERS,70.0,REGISTRATION TEMPLATE (LOCAL),,,,,0.402,
pointer_to_empty_file,3,,43.7,ADT TEMPLATE,5.0,EDIT TEMPLATE NAME,,,,,0.402,
pointer_to_empty_file,3,,43.7,ADT TEMPLATE,6.0,PRINT TEMPLATE NAME,,,,,0.4,
pointer_to_empty_file,3,,43.7,ADT TEMPLATE,7.0,SORT TEMPLATE NAME,,,,,0.401,
pointer_to_empty_file,3,,45.62,PTF ARCHIVE/PURGE HISTORY FILE,0.08,SEARCH TEMPLATE,,,,,0.401,
pointer_to_empty_file,3,,46.0,INPATIENT CPT CODE,0.02,CPT MODIFIER 1,,,,,81.3,
pointer_to_empty_file,3,,46.0,INPATIENT CPT CODE,0.03,CPT MODIFIER 2,,,,,81.3,
pointer_to_empty_file,3,,81.0,CPT,3.0,CPT CATEGORY,,,,,81.1,
pointer_to_empty_file,3,,81.1,CPT CATEGORY,3.0,MAJOR CATEGORY,,,,,81.1,
pointer_to_empty_file,3,,95.11,LAB ARCHIVAL ACTIVITY,2.0,SEARCH TEMPLATE,,,,,0.401,
pointer_to_empty_file,3,,95.11,LAB ARCHIVAL ACTIVITY,3.0,PRINT TEMPLATE,,,,,0.4,
pointer_to_empty_file,3,,200.0,NEW PERSON,200.07,LANGUAGE,,,,,0.85,
pointer_to_empty_file,3,,363.2,CHARGE ITEM,0.07,CPT MODIFIER,,,,,81.3,
pointer_to_empty_file,3,,618.0,MENTAL HEALTH CENSUS,2.8,DEFAULT TEAM,,,,,618.2,
pointer_to_empty_file,3,,618.0,MENTAL HEALTH CENSUS,3.0,TEAM ROTATION 1,,,,,618.2,
pointer_to_empty_file,3,,618.0,MENTAL HEALTH CENSUS,3.1,TEAM ROTATION 2,,,,,618.2,
pointer_to_empty_file,3,,618.0,MENTAL HEALTH CENSUS,3.2,TEAM ROTATION 3,,,,,618.2,
pointer_to_empty_file,3,,618.0,MENTAL HEALTH CENSUS,3.3,TEAM ROTATION 4,,,,,618.2,
pointer_to_empty_file,3,,618.0,MENTAL HEALTH CENSUS,3.4,TEAM ROTATION 5,,,,,618.2,
pointer_to_empty_file,3,,618.4,MENTAL HEALTH INPT,3.0,TEAM,,,,,618.2,
pointer_to_empty_file,3,,618.4,MENTAL HEALTH INPT,23.0,CURRENT TEAM,,,,,618.2,
pointer_to_empty_file,3,,920.0,VACCINE INFORMATION STATEMENT,0.04,LANGUAGE,,,,,0.85,
pointer_to_empty_file,3,,2006.1,IMAGING SITE PARAMETERS,304.0,RAD CPT MODIFIERS,,,,,81.3,
pointer_to_empty_file,3,,2006.563,DICOM GATEWAY PARAMETER,133.0,IMPORTER CPT MOD,,,,,81.3,
pointer_to_empty_file,3,,8989.3,KERNEL SYSTEM PARAMETERS,12.0,USER CHARACTERISTICS TEMPLATE,,,,,0.402,
pointer_to_empty_file,3,,8989.3,KERNEL SYSTEM PARAMETERS,207.0,DEFAULT LANGUAGE,,,,,0.85,
pointer_to_empty_file,3,,509850.5,A&SP PROCEDURE MODIFIER,0.01,MODIFIER,,,,,81.3,
