file_number,label,global_root,candidate_package,candidate_prefix,method,confidence,notes
351.62,TRANSFER PRICING FIELD DEFINITION,"^IBAT(351.62,",INTEGRATED BILLING,IB,prefix,med,ns=IBAT matched prefix=IB
351.67,TRANSFER PRICING INPT PROSTHETIC ITEMS,"^IBAT(351.67,",INTEGRATED BILLING,IB,prefix,med,ns=IBAT matched prefix=IB
351.7,IB DM EXTRACT REPORTS,"^IBE(351.7,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
351.701,IB DM EXTRACT DATA ELEMENTS,"^IBE(351.701,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
351.71,IB DM EXTRACT DATA,"^IBE(351.71,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
351.73,IB DM WORKLOAD PARAMETERS,"^IBE(351.73,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
351.81,LTC COPAY CLOCK,"^IBA(351.81,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
351.82,IB UC VISIT TRACKING,"^IBUC(351.82,",INTEGRATED BILLING,IB,prefix,med,ns=IBUC matched prefix=IB
351.83,IB MH VISIT TRACKING,"^IBMH(351.83,",INTEGRATED BILLING,IB,prefix,med,ns=IBMH matched prefix=IB
351.9,CLAIMSMANAGER BILLS,"^IBA(351.9,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
351.91,CLAIMSMANAGER STATUS,"^IBA(351.91,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
352.5,IB CLINIC STOP CODE BILLABLE TYPES,"^IBE(352.5,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
353.3,IB ATTACHMENT REPORT TYPE,"^IBE(353.3,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
353.4,TRANSPORT REASON CODE,"^IBE(353.4,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
353.5,AMBULANCE CONDITION INDICATORS,"^IBE(353.5,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
354.7,IB PATIENT COPAY ACCOUNT,"^IBAM(354.7,",INTEGRATED BILLING,IB,prefix,med,ns=IBAM matched prefix=IB
354.71,IB COPAY TRANSACTIONS,"^IBAM(354.71,",INTEGRATED BILLING,IB,prefix,med,ns=IBAM matched prefix=IB
354.75,IB COPAY CAPS,"^IBAM(354.75,",INTEGRATED BILLING,IB,prefix,med,ns=IBAM matched prefix=IB
355.12,SOURCE OF INFORMATION,"^IBE(355.12,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
355.13,INSURANCE FILING TIME FRAME,"^IBE(355.13,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
355.31,PLAN LIMITATION CATEGORY,"^IBE(355.31,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
355.32,PLAN COVERAGE LIMITATIONS,"^IBA(355.32,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.33,INSURANCE VERIFICATION PROCESSOR,"^IBA(355.33,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.34,INSURANCE REMOTE QUERY RESULTS,"^IBA(355.34,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.35,HMS EXTRACT FILE STATUS,"^IBA(355.35,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.351,HMS RESULT FILE STATUS,"^IBA(355.351,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.36,CREATION TO PROCESSING TRACKING,"^IBA(355.36,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.8,SPONSOR,"^IBA(355.8,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.81,SPONSOR RELATIONSHIP,"^IBA(355.81,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.82,SPONSOR PERSON,"^IBA(355.82,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.9,IB BILLING PRACTITIONER ID,"^IBA(355.9,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.91,IB INSURANCE CO LEVEL BILLING PROV ID,"^IBA(355.91,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.92,FACILITY BILLING ID,"^IBA(355.92,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.93,IB NON/OTHER VA BILLING PROVIDER,"^IBA(355.93,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.95,IB PROVIDER ID CARE UNIT,"^IBA(355.95,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.96,IB INS CO PROVIDER ID CARE UNIT,"^IBA(355.96,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
355.97,IB PROVIDER ID # TYPE,"^IBE(355.97,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
355.98,IB ALTERNATE PRIMARY ID TYPE,"^IBA(355.98,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
