package_name,prefix,version,file_count
INCOME EXEMPTION PATCH,IBY3,"RX COPAYMENT EXEMPTION BASED ON INCOME, PATCH IB*1.5*9",0
INCOME VERIFICATION MATCH,IVM,IVM Software for interface with the IVM Center,8
INCOMPLETE RECORDS TRACKING,DGJ,IRT,0
INFORMATION MAPPING,MAP,INFO MAP,0
INPATIENT AUTO REPLENISH,PSGZ,,5
INPATIENT MEDICATIONS,PSJ,UNIT DOSE AND IVS,13
INPATIENT MEDS V4 PRE-RELEASE,PSJ4,PRE-RELEASE PACKET FOR INPATIENT MEDS VERSION 4,0
INSURANCE CAPTURE BUFFER,DSIV,INSURANCE CAPTURE BUFFER,0
INTEGRATED BILLING,IB,INTEGRATED BILLING,81
INTEGRATED BILLING PATCH,IBY1,PATCHES TO IB,0
INTEGRATED PATIENT FUNDS,PRPF,PATIENT FUNDS.  INTEGRATED WITH PATIENT FILE,6
INTERIM MANAGEMENT SUPPORT,ECT,Information for VAMC's management.,5
ISC TRAVEL,A1AT,TRAVEL PACKAGE FOR TROY ISC,0
ISC-ALBANY TEMPORARY,IBIZ,TEMPORARY INITS,0
ISI IMAGING,ISI,ISI Extensions for VistA IMAGING 3.0,0
IV MEDICATIONS,PSIV,,6
IVM PATCHES,IVMY,Patches to Income Verification Match,0
JOINT LEGACY VIEWER,JLV,Access patient medical records from all VistA's,0
KERNEL,XU,"SIGN-ON, SECURITY, MENU DRIVER, DEVICES, TASKMAN",33
KIDS,XPD,Kernel Installation & Distribution System,2
LAB MESSAGING,LA7,HL7 MESSAGING SYSTEM FOR LAB,3
LAB ORDER ENTRY,LRX,Order entry component of Lab,0
LAB SERVICE,LR,CORE LAB SYSTEM,52
LAB SITE CODE,LB,,0
LABORATORY ARCHIVING,LRAR,LABORATORY ARCHIVING,0
LEXICON UTILITY,LEX,Medical and Biomedical Terminology System.,0
LIBRARY,LBRY,LIBRARY SERIALS PACKAGE,0
LIBRARY,LBR,LIBRARY SERIALS PACKAGE,0
LIBRARY SERVICE,LBRY,LIBRARY SERIALS PACKAGE,0
LIGHTHOUSE,LHS,Lighthouse is an API platform,0
LINDA'S SPECIAL,ZZLL,Temp. File for Sending Templates,0
LIST MANAGER,VALM,List Manager Developer Tool,1
LONGVIEW,ZLV,Class III mods for creating test data for scheduling,0
LRBLSCREEN INPUT TEMPLATE,LR00,INPUT TEMPLATE LRBLSCREEN IN FILE 63,0
LRBLSCREEN INPUT TEMPLATE-2,LR03,Input template distribution,0
LRHA,LRHA,ANATOMIC PATH HELP FRAMES,0
LRHC,LRHC,CLINICAL LAB HELP FRAMES,0
LRHM,LRHM,MICRO HELP FRAMES,0
LRLD,LRLD,LAB DESCRIPTIONS (Replaced LRBL and LRAD init),0
Log4M,XTML,Log4M - A logger package similar to Log4J,0
MAILMAN,XM,"Electronic Mail, both local and networked",19
MAILMAN DOMAIN UPDATES,XMDB,RESERVED FOR MAILMAN DOMAIN PATCHES,0
MAS UPDATES,A1A3,MAS DD UPDATES/TEST SITES,0
MAS V5.0 PRE-PACKET,DGYP,Options necessary to prepare for installation of MAS v5.0.,0
MASH UTILITIES,%u,Utilities associated with the M Advanced Shell,0
MASTER PATIENT INDEX VISTA,MPIF,Master Patient Index VistA side,0
MCBI,MCB,Fix Input transform,0
MCCR NATIONAL DATABASE - FIELD,PRQS,MCCR DATA COLLECTION FIELD COMPONENT,0
